hub_id,latitude,longitude,customer_count,total_order_volume,average_distance_km,total_weighted_distance,capacity_limit,capacity_satisfied
1,12.980155825621177,77.62877161176762,2340,10011,3.001564201978401,30222.03451009471,2500,True
2,13.079141557550702,77.58701905779331,1023,4199,4.555226976269775,18724.596181257933,2500,True
3,12.931623308459928,77.4930497909622,483,2112,5.094139813780445,10624.842663088017,2500,True
4,12.894423765371007,77.6595271135349,910,3762,4.147227176931058,15673.513157777614,2500,True
5,12.999523502434753,77.55865958167209,1981,8756,3.1993823121092952,28205.411650801077,2500,True
6,13.165268275570513,77.6852284135774,135,566,6.131117221410323,3463.280211698444,2500,True
7,12.964538405364536,77.72393043725329,1234,5118,3.7114495503180818,19342.61546584664,2500,True
8,12.918455007123283,77.58449648247226,1894,7987,3.3329082416059586,26595.239188423984,2500,True
